Frames,X Position (px),Y Position (px),Angle (deg)
303,44.5,40.64583333333333,42.40824844179329
304,46.44444444444444,39.833333333333336,40.61822268651893
305,45.577777777777776,38.577777777777776,40.24512315233121
306,44.0,39.625,42.00519328277167
307,44.42222222222222,41.577777777777776,43.105636373033335
308,47.577777777777776,41.577777777777776,41.14990797241419
309,47.666666666666664,40.416666666666664,40.29468145361684
310,46.5,40.5,41.05481377096244
311,45.64583333333333,41.5,42.27629211731219
312,47.431372549019606,40.56862745098039,40.540771644211375
313,46.354166666666664,39.5,40.43547303080248
314,44.354166666666664,40.5,42.39935210225764
315,44.577777777777776,40.42222222222222,42.20110148642365
316,45.8095238095238,39.57142857142857,40.82128589142036
317,45.5,39.354166666666664,40.8574043419325
318,43.74358974358974,41.33333333333333,43.377226319094746
319,44.5,41.0,42.65586752593016
320,44.64583333333333,39.5,41.50050627535657
321,43.96078431372548,40.09803921568627,42.3689448028739
322,43.5,41.354166666666664,43.55138527819033
323,45.5,41.354166666666664,42.26715942373687
324,44.5,39.5,41.59355624500528
325,43.5,40.5,42.954591511112774
326,43.42222222222222,41.42222222222222,43.64964238962159
327,43.42222222222222,41.42222222222222,43.64964238962159
328,44.5,40.5,42.3057157101439
329,44.42222222222222,41.42222222222222,42.99850280086159
330,44.57142857142857,42.19047619047619,43.428062481647984
331,46.64583333333333,41.5,41.65894273425189
332,47.5,40.5,40.451957590874585
333,44.733333333333334,40.0,41.802693282281695
334,45.22222222222222,39.77777777777778,41.33508079765051
335,46.77777777777777,38.77777777777778,39.658005608512745
336,46.25641025641025,38.666666666666664,39.89293117629745
337,45.0,39.266666666666666,41.107709826952195
338,45.22222222222222,38.77777777777778,40.612885941531154
339,45.577777777777776,38.577777777777776,40.24512315233121
340,44.5,39.5,41.59355624500528
341,43.86666666666666,40.5,42.71481432425196
342,45.22222222222222,41.22222222222222,42.35067119680958
343,47.0,39.5,40.04455105994776
344,44.5,39.354166666666664,41.48836453023717
345,44.0,40.19047619047619,42.409198014804886
346,45.42222222222222,40.42222222222222,41.66657987590725
347,46.5,40.354166666666664,40.95247556539569
348,44.354166666666664,40.5,42.39935210225764
349,44.19298245614035,41.19298245614035,42.9877645825307
350,45.5,42.354166666666664,42.949260634301005
351,47.5,41.5,41.14319901441016
352,47.42222222222222,41.577777777777776,41.24289996828303
353,46.5,42.64583333333333,42.52439302921034
354,47.5,41.5,41.14319901441016
355,47.42222222222222,41.42222222222222,41.136466669782294
356,46.42222222222222,40.577777777777776,41.156785794359614
357,46.42222222222222,41.577777777777776,41.84901890931366
358,47.5,40.5,40.451957590874585
359,47.393939393939384,40.060606060606055,40.20678544869998
360,46.93939393939393,39.6060606060606,40.15667482884488
361,47.266666666666666,40.0,40.2399807268901
362,47.74358974358974,40.33333333333333,40.190807697946454
363,46.5,39.5,40.34664841273162
364,45.666666666666664,40.25641025641025,41.39705454905877
365,45.577777777777776,39.577777777777776,40.96964082622256
366,47.42222222222222,39.577777777777776,39.84779930665644
367,47.354166666666664,39.5,39.83283355126164
368,44.0,40.5,42.62815781021078
369,44.64583333333333,40.5,42.21241439486429
370,46.19298245614035,39.19298245614035,40.31333335915751
371,45.431372549019606,38.56862745098039,40.32934569776537
372,44.0,40.5,42.62815781021078
373,45.64583333333333,40.5,41.581557129052314
374,46.42222222222222,40.42222222222222,41.0477695378837
375,45.044444444444444,40.288888888888884,41.81025339836215
376,45.42222222222222,41.42222222222222,42.36285657073823
377,46.577777777777776,40.577777777777776,41.06183297771413
378,46.733333333333334,39.0,39.845744819739345
379,46.5,39.5,40.34664841273162
380,45.93939393939394,40.6060606060606,41.47362705244519
381,46.577777777777776,40.42222222222222,40.952866773734556
382,46.77777777777777,39.22222222222222,39.97915367321128
383,44.93939393939394,40.6060606060606,42.10014192615864
384,45.0,40.733333333333334,42.150927641979834
385,46.0,40.266666666666666,41.197680557320055
386,46.33333333333333,38.84615384615385,39.97667705442876
387,45.39393939393939,39.060606060606055,40.71135775237583
388,45.42222222222222,39.42222222222222,40.9549111091279
389,45.666666666666664,38.74358974358974,40.311266008704855
390,45.577777777777776,38.577777777777776,40.24512315233121
391,44.5,39.354166666666664,41.48836453023717
392,44.42222222222222,40.577777777777776,42.410347914459095
393,45.5,39.0,40.60129464500447
394,44.354166666666664,39.5,41.68694795358138
395,43.577777777777776,40.577777777777776,42.95836910062413
396,44.5,40.64583333333333,42.40824844179329
397,44.5,39.64583333333333,41.69840622133304
398,43.55555555555556,40.833333333333336,43.15238973400541
399,43.64583333333333,41.5,43.55634539779508
400,44.42222222222222,41.42222222222222,42.99850280086159
401,44.5,40.64583333333333,42.40824844179329
402,44.42222222222222,40.42222222222222,42.300783252580786
403,45.577777777777776,42.577777777777776,43.050933605609465
404,47.0,41.733333333333334,41.603258825245234
405,47.0,41.5,41.443818905744884
406,46.22222222222222,41.77777777777778,42.10873040377944
407,45.5,42.64583333333333,43.145407659124814
408,46.577777777777776,42.42222222222222,42.32670791092963
409,46.5,42.354166666666664,42.32858223200284
410,45.5,43.354166666666664,43.61657247444868
411,45.5,43.354166666666664,43.61657247444868
412,46.5,42.64583333333333,42.52439302921034
413,45.833333333333336,42.55555555555556,42.87623967459242
414,45.55555555555556,43.166666666666664,43.457655983561075
415,46.5,42.64583333333333,42.52439302921034
416,47.5,41.64583333333333,41.24280675731042
417,47.77777777777777,41.22222222222222,40.787319249512
418,47.5,40.64583333333333,40.55366207704352
419,47.64583333333333,40.5,40.36526378764158
420,47.666666666666664,39.74358974358974,39.820725498257836
421,46.577777777777776,39.42222222222222,40.2437098912248
422,46.5,40.354166666666664,40.95247556539569
423,47.5,39.64583333333333,39.85003428796284
424,47.577777777777776,39.577777777777776,39.755521920555346
425,47.5,39.5,39.746197248737744
426,46.577777777777776,39.577777777777776,40.35501333324217
427,46.77777777777777,40.22222222222222,40.690836716295756
428,46.0,39.266666666666666,40.48483996895907
429,44.577777777777776,40.42222222222222,42.20110148642365
430,44.577777777777776,41.42222222222222,42.898616960448024
