Frames,X Position (px),Y Position (px),Angle (deg)
67,792.0190139722027,818.2733473178031,45.9340721367528
68,792.072470166918,818.2972147613966,45.93297482744851
69,792.0696473474394,818.3044342226311,45.93332948197868
70,792.0690534888569,818.3097472127166,45.93353685179504
71,831.9068386263107,789.4877615426668,43.50136431477401
72,831.9497274679976,789.4667684781664,43.49912870314333
73,831.9303013358185,789.4996210003106,43.50098720836919
74,831.9575432452905,789.4903078394118,43.4997129437739
75,831.9168685325283,789.4749872669225,43.500556490223595
76,831.9482966330091,789.4941813530062,43.50017127343618
77,831.6469321181332,768.0370536381294,42.72288869771175
78,831.6369897133178,768.0336496550349,42.72310353780533
79,831.6323470810918,768.0329746961545,42.7232378642031
80,831.6458426686581,768.0553149116256,42.72360509777561
81,831.6323470810918,768.0329746961545,42.7232378642031
82,818.4130874802527,780.6043641390204,43.64549527085428
83,818.4010019496063,780.6159645615853,43.64634309830464
84,818.4846465244865,780.5606363546602,43.64139028197123
85,818.4785125394944,780.5815931082147,43.64237301166578
86,818.4775448732191,780.5773522948916,43.642251376846495
87,841.2121966158793,786.6399331342674,43.07993013848718
88,841.1724318257187,786.6550598199025,43.081830985619824
89,841.1792212100333,786.6442369032126,43.08120701699041
90,841.1770418580908,786.6507018887187,43.081515984553754
91,841.1792349308427,786.6413387434287,43.08110124248421
92,831.6719192563928,759.9461310354915,42.419728697284825
93,831.6844437347811,759.9494897076629,42.41942512867787
94,831.6614518896915,759.9631107741017,42.42072528802485
95,831.7172430297953,759.9724249797241,42.41916101418886
96,831.6880708331671,759.9663249976734,42.419932759718975
97,811.6413546801374,753.2249833652448,42.862144495189796
98,811.5948772272924,753.2281752498913,42.863901520620296
99,811.6773432094745,753.2195542170308,42.860671885281924
100,811.6586458206099,753.2404489502327,42.862122457409264
101,811.6671688586669,753.2443367672407,42.861969924356984
102,804.6823898197559,781.3419910188951,44.1568794072012
103,804.6589999751484,781.3265488704988,44.15714582548884
104,804.6738508961643,781.2952743182439,44.15547110015665
105,804.6409893114591,781.3285483470046,44.157860060867876
106,804.676287788385,781.2998085719968,44.155550565630215
107,805.3358346802124,792.5340054901357,44.54096693562456
108,805.3642136863983,792.5200010263515,44.539451406877205
109,805.333756540474,792.5139914845593,44.54031748454075
110,805.3480954213159,792.4817493907913,44.538642118240915
111,805.3451501154734,792.5159225044905,44.53998203314576
112,816.882453416149,748.3411102484472,42.49261225570703
113,816.877503812256,748.4045772918765,42.49520541728469
114,816.8560641324024,748.3779544866821,42.49493923520505
115,816.8525501758742,748.3742887440512,42.49492221354457
116,816.8530591126632,748.3688397361273,42.494696640170275
117,775.1382812600823,762.6648599119851,44.53527294381474
118,775.1401179370056,762.7318029910062,44.53771920758559
119,775.1577027671448,762.7069043292219,44.53613431729374
120,775.1247019090708,762.6910166673111,44.536757131200964
121,775.152083010686,762.6929688709927,44.53581861971353
122,775.4114829496366,783.4797860446205,45.29654126407508
123,775.4318488014437,783.4714659752408,45.29548468132343
124,775.4195347537193,783.4840619481394,45.29640014374987
125,775.4363188063192,783.4807768076155,45.29565998227477
126,775.4363188063192,783.4807768076155,45.29565998227477
127,804.4917297780582,768.9240954033869,43.705028708248825
128,804.5243974364015,768.9443767283974,43.704621469159704
129,804.5340260558114,768.929678172682,43.70373190502552
130,804.5072201455833,768.9145517738867,43.70412245979173
131,804.5311159220626,768.9255002296136,43.70367992528935
132,790.8928372655777,736.5558378705384,42.96263631606352
133,790.8627593386108,736.5317863800324,42.96278995326152
134,790.8461752400299,736.5773537449514,42.96515702237589
135,790.8609578432795,736.5424834228739,42.963270059279246
136,790.8456028265814,736.5454963457722,42.96394176687814
137,748.5469254531678,794.4528530628897,46.704109313377934
138,748.5577317664614,794.4229504756576,46.702620076115885
139,748.5653111414151,794.4336282154387,46.7027148913916
140,748.552986310315,794.3977704703933,46.701894934019606
